,loan_id,published_date,current_balance,original_balance,property_state,orig_int_rate,orig_dscr,orig_ltv,special_servicer,freddie_held,principal_paydown,label,orig_occ_rate,most_rct_occ_rate,occ_rate_delta,orig_noi,most_rct_noi,noi_delta,most_rct_value,orig_value,value_delta,most_rct_ltv,ltv_delta,most_rct_debt_serv,orig_debt_serv,debt_serv_delta,most_rct_dscr,dscr_delta
64,10059172,2017-01-25,85000000,85000000,CA,0.055,3.47,0.298,wells_fargo_bank,0.0,0,0.0,1.0,1.0,0.0,5416920.0,2924104,-2492816.0,466200000,285234899.329,180965100.671,0.182325182325,-0.115674817675,3558194.14,1561072.04611,1997122.09389,0.81,-2.66
65,301151002,2017-01-25,84997465,85702000,CA,0.0403,1.3,0.678,wells_fargo_bank,0.0,704535,0.0,0.929,0.0,-0.929,6599500.0,0,-6599500.0,126400000,126404129.794,-4129.79351033,0.672448299051,-0.00555170094937,0.0,5076538.46154,-5076538.46154,0.0,-1.3
66,10062287,2017-01-25,84939314,85050000,NY,0.041,1.31,0.75,wells_fargo_bank,0.0,110686,0.0,0.985,1.0,0.015,7596476.0,8159037,562561.0,113400000,113400000.0,0.0,0.749023932981,-0.0009760670194,3545167.5,5798836.64122,-2253669.14122,2.23,0.92
67,10073811,2017-01-25,84000000,84000000,VA,0.0315,2.67,0.646,cwcapital,0.0,0,0.0,0.95,0.93,-0.02,7315175.0,5347479,-1967696.0,130000000,130030959.752,-30959.752322,0.646153846154,0.000153846153846,2013900.0,2739765.9176,-725865.917603,2.6,-0.07
68,457000001,2017-01-25,83849569,89722000,CA,0.0549,1.25,0.67,keybank,0.0,5872431,0.0,0.862,0.97,0.108,7740751.0,11359221,3618470.0,134000000,133913432.836,86567.1641791,0.625743052239,-0.0442569477612,6106426.0,6192600.8,-86174.8,1.826,0.576
69,10054731,2017-01-25,83387194,89914000,MA,0.0557,1.304,0.683,wells_fargo_bank,0.0,6526806,0.0,0.929,0.94,0.011,7170192.0,5179192,-1991000.0,131750000,131645680.82,104319.180088,0.632919878558,-0.0500801214421,3086866.32,5498613.49693,-2411747.17693,1.66,0.356
70,300651003,2017-01-25,83242464,84367000,NJ,0.037,1.3,0.745,cwcapital,0.0,1124536,0.0,0.9444,0.94,-0.0044,6260405.0,5770561,-489844.0,113300000,113244295.302,55704.6979866,0.734708420124,-0.0102915798764,2999503.0,4815696.15385,-1816193.15385,1.873,0.573
71,30309838,2017-01-25,83000000,83000000,MD,0.026237,1.47,0.793,"berkeley_point_capital,_llc",0.0,0,0.0,0.877,0.0,-0.877,0.0,0,0.0,104600000,104665825.977,-65825.9773014,0.793499043977,0.000499043977055,0.0,0.0,0.0,0.0,-1.47
72,10098665,2017-01-25,82500000,82500000,NY,0.0372,1.28,0.747,wells_fargo_bank,0.0,0,0.0,0.99,0.99,0.0,6725773.0,7214019,488246.0,110500000,110441767.068,58232.9317269,0.746606334842,-0.000393665158371,3120150.0,5254510.15625,-2134360.15625,2.2,0.92
73,30308282,2017-01-25,82389697,88000000,CA,0.0308,1.45,0.572,wells_fargo_bank,0.0,5610303,0.0,0.95,0.0,-0.95,0.0,0,0.0,151600000,153846153.846,-2246153.84615,0.543467658311,-0.0285323416887,0.0,0.0,0.0,0.0,-1.45
74,304901101,2017-01-25,81980000,81980000,VA,0.0348,1.25,0.656,wells_fargo_bank,0.0,0,0.0,0.948,0.9,-0.048,5598035.8,3735716,-1862319.8,125000000,124969512.195,30487.804878,0.65584,-0.00016,2179302.0,4478428.64,-2299126.64,1.684,0.434
75,302781001,2017-01-25,81500000,81500000,FL,0.0452,1.45,0.697,keybank,0.0,0,0.0,0.98,0.99,0.01,7820879.45,6851290,-969589.45,117000000,116929698.709,70301.2912482,0.696581196581,-0.000418803418804,2814014.0,5393709.96552,-2579695.96552,2.267,0.817
76,838100001,2017-01-25,79709420,82926000,CT,0.0499,1.3,0.74,keybank,0.0,3216580,0.0,0.926,0.92,-0.006,7123069.0,7990442,867373.0,112000000,112062162.162,-62162.1621622,0.71169125,-0.02830875,5335896.0,5479283.84615,-143387.846154,1.463,0.163
77,456000002,2017-01-25,79486477,88000000,PA,0.0555,1.26,0.789,keybank,0.0,8513523,0.0,0.955,0.98,0.025,8323001.0,6275406,-2047595.0,111000000,111533586.819,-533586.818758,0.716094387387,-0.0729056126126,4521765.0,6605556.34921,-2083791.34921,1.375,0.115
78,10081397,2017-01-25,79320033,85000000,MI,0.0362,1.74,0.689,midland_loan_services,0.0,5679967,0.0,0.944,0.97,0.026,9182887.0,8709633,-473254.0,123100000,123367198.839,-267198.838897,0.644354451665,-0.0446455483347,3486639.96,5277521.26437,-1790881.30437,2.41,0.67
79,689100001,2017-01-25,78385321,84000000,MD,0.0446,1.27,0.758,cwcapital,0.0,5614679,0.0,0.948,0.0,-0.948,6755001.0,0,-6755001.0,0,110817941.953,-110817941.953,inf,inf,0.0,5318898.4252,-5318898.4252,0.0,-1.27
80,303681002,2017-01-25,77440000,77440000,MD,0.0357,1.31,0.798,wells_fargo_bank,0.0,0,0.0,0.948,0.91,-0.038,5776934.21,4803144,-973790.21,97000000,97042606.5163,-42606.5162907,0.798350515464,0.000350515463918,2111853.0,4409873.44275,-2298020.44275,2.181,0.871
81,304611001,2017-01-25,76111000,76111000,CA,0.0404,1.27,0.7,wells_fargo_bank,0.0,0,0.0,0.98,0.97,-0.01,5682078.0,4951403,-730675.0,108730000,108730000.0,0.0,0.7,0.0,2348870.0,4474077.16535,-2125207.16535,2.066,0.796
82,833100002,2017-01-25,76104817,80500000,VA,0.0401,1.266,0.734,midland_loan_services,0.0,4395183,0.0,0.898,0.98,0.082,5954846.0,4188985,-1765861.0,109600000,109673024.523,-73024.5231608,0.694387016423,-0.0396129835766,3463052.0,4703669.82622,-1240617.82622,1.186,-0.08
83,10081017,2017-01-25,75881000,75881000,OH,0.0475,1.3,0.742,wells_fargo_bank,0.0,0,0.0,0.923,0.95,0.027,6227157.0,4482286,-1744871.0,102200000,102265498.652,-65498.6522911,0.74247553816,0.00047553816047,2743309.92,4790120.76923,-2046810.84923,1.6,0.3
84,818100001,2017-01-25,75689550,78650000,VA,0.0401,1.447,0.649,cwcapital,0.0,2960450,0.0,0.881,0.0,-0.881,6717338.0,0,-6717338.0,0,121186440.678,-121186440.678,inf,inf,0.0,4642251.55494,-4642251.55494,0.0,-1.447
85,10093640,2017-01-25,75618000,75618000,MA,0.0379,1.25,0.78,wells_fargo_bank,0.0,0,0.0,0.957,0.94,-0.017,4908286.0,3009967,-1898319.0,96900000,96946153.8462,-46153.8461538,0.780371517028,0.000371517027864,1448883.8,3926628.8,-2477745.0,2.05,0.8
