,lnno,mrtg_status,quarter,amt_upb_endg,amt_upb_pch,code_st,rate_int,rate_dcr
107423,302266002,100,2016-03-31,4852190.61,7000000.0,CO,0.062,1.398
107518,302271002,100,2016-03-31,5943822.36,7350000.0,FL,0.0592,1.215
107648,302274002,100,2016-03-31,1519102.13,9537430.1,MI,0.06658,1.22
107671,302412504,100,2016-03-31,4621010.24,4800000.0,MS,0.0712,1.39
107705,302778487,100,2016-03-31,15862234.25,18000000.0,IL,0.0591,1.225
107869,303270002,100,2016-03-31,4055169.91,7310000.0,MD,0.0519,1.834
107910,303272002,100,2016-03-31,9163287.89,11000000.0,MD,0.0583,1.916
108219,304270002,100,2016-03-31,2704371.19,4875000.0,MD,0.0519,1.767
108260,304272002,100,2016-03-31,4832868.43,5800000.0,MD,0.0584,1.847
108364,304414504,100,2016-03-31,3663764.74,4977000.0,WA,0.0682,1.202
108671,305779487,100,2016-03-31,7523343.55,8500000.0,LA,0.0579,1.371
108675,305821708,100,2016-03-31,6548000.0,6548000.0,HI,0.0498,1.428905
108775,306270002,100,2016-03-31,91375000.0,91375000.0,VA,0.0608,1.182
108834,306418504,100,2016-03-31,13280594.06,14195819.57,OH,0.0529,1.771
108976,307239932,100,2016-03-31,8375177.13,8400000.0,FL,0.038805,1.589
109089,307259942,100,2016-03-31,11373952.39,12000000.0,AZ,0.0554,1.487
109130,307272002,100,2016-03-31,8366335.63,10000000.0,MD,0.0599,1.281
109189,307411504,100,2016-03-31,16937629.34,18225000.0,NC,0.0612,1.472
109207,307418504,100,2016-03-31,4271432.02,4565795.89,KY,0.0529,1.747
109374,308119981,100,2016-03-31,443608.99,2135000.0,FL,0.0711,0.0
109470,308411504,100,2016-03-31,18378141.21,19775000.0,NC,0.0612,1.469
109506,308418504,100,2016-03-31,9337158.05,9980624.06,CO,0.0529,1.767
109538,308779487,100,2016-03-31,2691163.71,3019000.0,LA,0.0596,1.204
109745,309278002,100,2016-03-31,221955.64,2980476.0,NY,0.055,1.545
109776,309411504,100,2016-03-31,21026823.77,22625000.0,NC,0.0612,1.461
109835,309779487,100,2016-03-31,18018884.89,20000000.0,NC,0.0625,1.343
109837,309824708,100,2016-03-31,16046201.56,16200000.0,WA,0.035605,1.309
110135,310275002,100,2016-03-31,7630401.67,9600000.0,TX,0.0639,1.256
110209,310411504,100,2016-03-31,10868893.29,11695000.0,NC,0.0612,1.469
110267,310779487,100,2016-03-31,4984541.06,5624000.0,LA,0.0585,1.203
110302,310870968,100,2016-03-31,13471000.0,13471000.0,NY,0.0591,1.133
110542,311272002,100,2016-03-31,33180621.99,36130000.0,AL,0.057,1.472
110619,311411504,100,2016-03-31,7946048.25,8550000.0,NC,0.0612,1.447
110648,311414504,100,2016-03-31,3220231.21,3450000.0,TX,0.0605,1.918
110714,311870968,100,2016-03-31,19679000.0,19679000.0,NY,0.0591,1.133
110747,312099940,100,2016-03-31,34000000.0,34000000.0,GA,0.0601,1.447
111146,312870968,100,2016-03-31,10400148.26,10938000.0,NY,0.0573,1.43
111261,313259942,100,2016-03-31,16100000.0,16100000.0,CA,0.0566,1.422
111380,313820708,100,2016-03-31,126104231.91,130000000.0,NY,0.053,3.729
111447,314779487,100,2016-03-31,3461986.03,3900000.0,LA,0.0592,1.201
111481,315099940,100,2016-03-31,6952922.74,7950000.0,VA,0.0566,1.213
111649,315414504,100,2016-03-31,3770888.51,4150000.0,NJ,0.0605,1.747
111734,315781487,100,2016-03-31,1629606.89,1875000.0,FL,0.029405,1.206
111790,316099940,100,2016-03-31,3498326.13,4000000.0,VA,0.0566,1.212
111872,316258942,100,2016-03-31,36057242.84,44000000.0,CA,0.0525,1.316
111908,316259942,100,2016-03-31,17000000.0,17000000.0,NV,0.0561,1.435
112116,316412504,100,2016-03-31,15986000.0,15986000.0,NV,0.029405,1.429
112144,316414504,100,2016-03-31,6817379.03,7500000.0,NJ,0.0607,1.41
112162,316418504,100,2016-03-31,18608137.99,21430000.0,CA,0.0545,1.751
112165,316419504,100,2016-03-31,3932667.83,3989824.65,FL,0.0547,1.615
112258,316779487,100,2016-03-31,3645101.82,4100000.0,VA,0.0607,1.314
112307,317099940,100,2016-03-31,4386026.41,5015000.0,VA,0.0566,1.294
112483,317412504,100,2016-03-31,4910000.0,4910000.0,AZ,0.0544,3.225
112513,317413504,100,2016-03-31,6339610.01,6500000.0,MA,0.0622,1.804
112532,317827708,100,2016-03-31,4199399.32,4500000.0,CA,0.0407,1.57
112758,318278002,100,2016-03-31,34050435.7,42000000.0,NY,0.0616,1.495
112789,318411504,100,2016-03-31,47193410.45,53000000.0,CA,0.0577,1.211
112832,318417504,100,2016-03-31,9619367.25,10458000.0,FL,0.0665,1.627
112893,319099940,500,2016-03-31,,5000000.0,SC,0.0557,1.517
113096,319869968,100,2016-03-31,3100000.0,3100000.0,NJ,0.029405,1.591
113132,320097940,100,2016-03-31,7860011.78,9100000.0,IL,0.0567,1.909
113331,320277002,100,2016-03-31,310644.35,600000.0,NY,0.0719,1.784
113469,320869968,100,2016-03-31,12500000.0,12500000.0,NY,0.029405,13.523
113521,321097940,500,2016-03-31,,5550000.0,IN,0.029295,1.46
113608,321270002,100,2016-03-31,25716017.64,27000000.0,FL,0.0525,1.325
113706,321414504,100,2016-03-31,5320382.13,5700000.0,AR,0.0605,1.874
113822,322864708,100,2016-03-31,6507914.07,6580000.0,OR,0.036105,1.442
113884,323099940,100,2016-03-31,18875687.55,20200000.0,MS,0.039405,1.547
114091,323412504,100,2016-03-31,2883157.04,3219063.17,OK,0.0621,1.186
114173,324098940,100,2016-03-31,9100000.0,9100000.0,GA,0.0599,1.693
114463,324414504,100,2016-03-31,7325326.58,7848000.0,AR,0.0605,1.891
114566,324807708,100,2016-03-31,3692759.84,3900000.0,CA,0.0435,1.326
114575,324820708,100,2016-03-31,12264296.85,12500000.0,NY,0.0575,1.164
114578,324864708,100,2016-03-31,1305671.49,1320000.0,WA,0.0322,1.439
114640,325099940,100,2016-03-31,5945798.19,6200000.0,LA,0.0601,1.473
114811,325259942,100,2016-03-31,5262461.72,6000000.0,CA,0.0571,1.849
114961,325277002,100,2016-03-31,2098336.33,2800000.0,NY,0.0668,3.229
115015,325414504,100,2016-03-31,3990286.7,4275000.0,DE,0.0605,2.07
115155,326265002,100,2016-03-31,373341.06,4000000.0,WA,0.0673,1.296
115285,326277002,100,2016-03-31,9127219.51,12000000.0,NY,0.0708,9.707
115376,326414504,100,2016-03-31,8967644.54,9607500.0,AR,0.0605,1.879
115409,326778487,100,2016-03-31,758495.06,2215000.0,KS,0.059,1.2
115478,326869968,100,2016-03-31,10046253.08,10650000.0,NH,0.0605,1.538
115539,327097940,100,2016-03-31,5852397.41,6800000.0,IN,0.0598,1.314
115704,327266002,100,2016-03-31,2850234.0,3700000.0,CA,0.0586,1.279
115755,327270002,100,2016-03-31,2550632.89,3800000.0,MS,0.0606,1.433
115965,327414504,100,2016-03-31,2996215.39,3210000.0,TX,0.0605,1.929
116069,328097940,100,2016-03-31,11055344.65,12200000.0,OH,0.0557,1.527
116345,329099940,100,2016-03-31,6767098.55,7150000.0,SD,0.059,1.458
116679,329779487,100,2016-03-31,3143840.6,3500000.0,VA,0.0632,1.346
116755,330096940,100,2016-03-31,7480713.53,8800000.0,WI,0.0601,1.238
116815,330098940,100,2016-03-31,2819045.41,3300000.0,MD,0.0632,2.894
116848,330099940,100,2016-03-31,11036058.77,12500000.0,OH,0.0583,1.577
117033,330259942,100,2016-03-31,19372180.19,22479071.99,CA,0.0555,1.5
117492,331779487,100,2016-03-31,14499764.43,15600000.0,VA,0.0579,1.47
117539,331882948,100,2016-03-31,1499301.05,1620000.0,CA,0.0628,1.271
117581,332096940,100,2016-03-31,3368219.84,4050000.0,WI,0.0557,1.367
117646,332099940,100,2016-03-31,5508662.67,6000000.0,WI,0.0578,1.462
117899,332277002,100,2016-03-31,12395258.9,16000000.0,NJ,0.0744,1.274
117988,332869968,500,2016-03-31,,5600000.0,NH,0.029405,1.572
118030,333096940,100,2016-03-31,2908961.38,3500000.0,WI,0.0555,1.527
118058,333098940,100,2016-03-31,6552851.83,7200000.0,GA,0.0662,1.102
118220,333158671,100,2016-03-31,492828.39,1400000.0,CA,0.08376,0.0
118460,333277002,100,2016-03-31,1898001.07,2450000.0,NJ,0.0744,1.274
118631,334265002,100,2016-03-31,3032097.33,4750000.0,CA,0.0708,1.711
118682,334270002,100,2016-03-31,6138294.18,7991647.5,MD,0.0575,2.178
119014,335265002,100,2016-03-31,925586.42,1450000.0,CA,0.0708,1.753
119065,335270002,100,2016-03-31,4373535.54,5694048.85,MD,0.0575,2.256
119237,335278002,100,2016-03-31,3181499.01,4000000.0,NY,0.0563,9.3
119294,335412504,100,2016-03-31,5500000.0,5500000.0,AZ,0.0653,1.376
