,loan_id,dlq_status_text,distributiondate,actual_balance,original_note_amount,state,note_rate,dscr_(ncf)
434,10063191,100,01/25/2017,39987110,42250000,CA,0.038,1.256
435,30310427,100,01/25/2017,39940000,19970000,NC,0.029637,0.74
436,501164286,100,01/25/2017,39938450,41410000,VA,0.0387,1.449
437,305331005,100,01/25/2017,39912000,39912000,CA,0.0331,2.467
438,10060748,100,01/25/2017,39771086,40000000,NY,0.0493,1.39
439,10100821,100,01/25/2017,39750000,39750000,FL,0.0378,2.34
440,10093643,100,01/25/2017,39750000,39750000,CO,0.0385,2.17
441,504149490,100,01/25/2017,39725915,44737000,VA,0.0585,1.4
442,10059156,100,01/25/2017,39692120,43615000,DC,0.0506,1.26
443,30310317,100,01/25/2017,39685000,39685000,CA,0.029037,2.89
444,300340008,100,01/25/2017,39611000,39611000,CA,0.0369,2.761
445,651100003,100,01/25/2017,39584194,42642000,UT,0.0443,1.647
446,833100004,100,01/25/2017,39564813,43750000,VA,0.0379,2.072
447,10081398,100,01/25/2017,39500000,39500000,NY,0.0359,1.95
448,10059177,100,01/25/2017,39410000,39410000,NY,0.0503,2.24
449,301151004,100,01/25/2017,39400000,39400000,CA,0.0321,3.149
450,10096475,100,01/25/2017,39365000,39365000,GA,0.0393,1.97
451,10073966,100,01/25/2017,39274307,40900000,MD,0.0371,1.62
452,303841003,100,01/25/2017,39217660,39900000,AZ,0.0395,1.588
453,10102897,100,01/25/2017,39204000,39204000,VA,0.0422,1.75
454,304991021,100,01/25/2017,39200000,39200000,CO,0.028237,3.004
455,10091331,100,01/25/2017,39178757,41064000,CA,0.0393,1.4
